,Role,Company,Location,Contract,Salary,Job_description
814,Customer Service Service Representative,Cigna,,,,"[""NOTE : We are currently training in a work at home environment, and you will be required to have reliable internet connectivity provided through a wired connection. A mobile or hot spot environment is not acceptable and you may need to purchase an Ethernet cord depending on your current set up.  Customer Service Representative Have you heard? Express Scripts is now part of Cigna. Together, we’ve got big plans. How big, you ask? We want to change health care to make it more affordable, more personalized, and more focused on helping the whole person to achieve better health outcomes. And that’s only the beginning. Read on to learn more about working with us. Transform healthcare and contribute to our industry-leading organization as a Customer Service Representative. Our Customer Service Representatives are dedicated team members who excel at customer service, helping us elevate our patient care to new heights. In this crucial role, you are on the front lines with patients, responding to phone inquiries and addressing each with care, detail, and most importantly, empathy.  Here’s a little more on how you’ll make a difference: Help patients understand their pharmacy benefits better. Use the knowledge you gain from training, your problem-solving skills and support from your team answer patient calls effectively. Help us keep track of our patient interactions. While on calls, use your expert listening skills to get to the heart of a patient’s question quickly and document all interactions in real-time. Ensure patients are equipped with the best advice. Identify and empathetically address patient concerns and, if necessary, escalate appropriately.  What You Should Have: High School Diploma / GED required 1 year of relevant experience General PC knowledge including Microsoft Office Excellent communication skills (verbal and written)  What you’ll love about working here: Fun, friendly, and unique culture – Bring your whole self to work every day! Choice of three unique medical plans Prescription Drug, Dental, Vision and Life Insurance Employee Contributions for HRA and HSA accounts 401K with Company Match Paid Time Off and Paid Holidays Tuition Assistance  ABOUT ACCREDO  Through our range of health care products and services offered, Accredo team members provide in-depth care for patients with chronic health conditions like hemophilia, oncology, rheumatoid arthritis and growth hormone deficiency. In addition to health care products, we provide comprehensive management services – including outcomes measurement, counseling, clinical care management programs, social services and reimbursement services. By performing in these very high-touch roles, employees have a daily opportunity to make a positive impact on their patients' lives.  About Cigna Cigna Corporation (NYSE: CI) is a global health service company dedicated to improving the health, well-being and peace of mind of those we serve. We offer an integrated suite of health services through Cigna, Express Scripts, and our affiliates including medical, dental, behavioral health, pharmacy, vision, supplemental benefits, and other related products. Together, with our 74,000 employees worldwide, we aspire to transform health services, making them more affordable and accessible to millions. Through our unmatched expertise, bold action, fresh ideas and an unwavering commitment to patient-centered care, we are a force of health services innovation.  When you work with Cigna, you’ll enjoy meaningful career experiences that enrich people’s lives while working together to make the world a healthier place. What difference will you make? To see our culture in action, search #TeamCigna on Instagram.  Qualified applicants will be considered without regard to race, color, age, disability, sex, childbirth (including pregnancy) or related medical conditions including but not limited to lactation, sexual orientation, gender identity or expression, veteran or military status, religion, national origin, ancestry, marital or familial status, genetic information, status with regard to public assistance, citizenship status or any other characteristic protected by applicable equal employment opportunity laws.  If you require reasonable accommodation in completing the online application process, please email: SeeYourself@cigna.com for support. Do not email SeeYourself@cigna.com for an update on your application or to provide your resume as you will not receive a response.""]"
815,Credentialing Coordinator - Remote Position,Forefront Dermatology,,,,"['Come join our team! We have an immediate need for a Credentialing Coordinator! If you are ready to make an impact every day, and thrive in a fast-paced environment, then a career at Forefront may be the perfect fit for you! **This is a remote position within the Forefront Footprint**  Summary The Credentialing Coordinator is responsible for ensuring that all credentialing and provider enrollment processes for Physicians and Mid-Levels are completed in an accurate, timely manner and all existing Physician and Mid-Level credentials are renewed and current. Complete enrollment packets for providers including preparing applications, follow up phone calls, faxing information, sending letters, acquiring signatures, etc. to secure the needed information Thoroughly document all tasks and communications Keep track of the status of each application (i.e. what information is missing, what steps have been taken to retrieve such information) Serve as the liaison between providers and payers to ensure the appropriate information is submitted and processed timely Communicate with provider by phone or via email and serve as a direct contact with provider regarding their enrollment status/issues/concerns Scan and enter information/documentation into credentialing system Maintain provider records and files with accuracy Track and follow up on provider documents that are set to expire including state licensure, DEA, CSR, malpractice insurance, etc. Independently research and resolve enrollment issues regarding payers Handle all re-credentialing requests from hospitals (staff affiliations) and payers Education High School Diploma or equivalent is required, Bachelor’s degree in business or a related field is preferred Knowledge, Skills & Abilities Maintain strict confidentiality and follow government confidentiality regulations Work independently, yet function within a team approach, with minimal supervision Organize and set work priorities, work under pressure, and meet deadlines Skilled in establishing, monitoring and maintaining a system of records, software programs, databases and reports Must have excellent attention to detail and follow-through skills Strong professional communication skills, both written and verbal; communicates effectively with others in person and over the phone Solid computer skills, specifically Microsoft Word, Excel and Adobe Acrobat 9 or higher required; SyMed/Echo OneApp Pro knowledge preferred  Here are just a few things we offer: Access to health, dental, and vision insurance Eligible for PTO and Holiday pay Company paid life insurance and long term disability Access to voluntary short term disability insurance and additional life insurance 401K with employer contribution Profit sharing Employee discounts And much more! IND123s']"
816,Healthcare Eligibility Analyst - US Remote,Performant Financial Corporation,,,,"['We are seeking highly-skilled, talented eligibility analysts with strong knowledge of healthcare eligibility, medical terminology, eligibility validation practices, Coordination of Benefits and Third Party Liability (COB/TPL), an Medicare Secondary Payer (MSP); proven ability to gather information, answer questions, and resolve primacy issues through coordination of benefits when multiple forms are of coverage are available; and communicate effectively with carriers to update validated eligibility records and primacy.  As a Healthcare Eligibility Analyst, you will review assigned records, investigate coverage, and determine primacy to maximize revenue for our client’s recovery programs with responsibilities to include, but not limited to:  Essential Duties:  Review eligibility and other documentation to verify current payer order of benefits. Leverage your knowledge and expertise in COB/TPL/MSP to review documentation and eligibility, investigate the file to determine proper order of benefits and answer questions and/or provide information that will bring to successful payment or other appropriate account action. Contact Healthcare Insurance carriers, employers, and/or providers regarding eligibility discrepancies Educate Healthcare Insurance carriers, employers, and/or providers on the Coordination of Benefits Rules Analyze and understand written communication from insurance companies including explanation of benefits (EOBs) Support internal groups or functions with gathering and interpretation of the eligibility work to development with knowledge base and understanding of key concepts and terminology in healthcare eligibility. Effectively follow and contribute to continuous improvement of scripts, guidelines and other tools provided to have professional conversations with Healthcare Insurance carriers, employers, and/or providers Efficiently and diligently work through assigned inventories to meet productivity metrics assigned by management. Leverage your knowledge and expertise to research various scenarios that will bring to successful resolution and payment (e.g. eligibility research and claims appeals) Initiate applicable action and documentation based upon insurance carriers selected Update company systems with clear and accurate information such as point of contact, updated demographic information, notes from contact from outbound and inbound calls and/or attempts, as well as account status updates as applicable Arrives to work on-time, works assigned schedule, and maintains regular good attendance. Follows and complies with company, departmental and client program policies, processes, and procedures. Responsible for utilizing resources to ensure compliance with client requirements, HIPAA, as well as applicable federal or state regulations. Successfully completes, retains, applies, and adheres to content in required training as assigned. Consistently achieve or exceed established metrics and goals assigned, including but not limited to, production and quality. Completes required processes to obtain client required clearances as well as company regular background and/or drug screening; and successfully passes and/or obtains and maintains clearances statuses as a condition of employment. (note: client/government clearance requirements are not determined or decisioned by Performant.) Demonstrates Performant core values in performance of job duties and all interactions. Correct areas of deficiency and oversight received from quality reviews and/or management. Work overtime as may be required. Performs other duties as assigned.   Required Skills and Knowledge:  Knowledge and experience with Healthcare, medical terminology, and medical coding, preferably in a role generating, auditing, recovery and/or researching the same. Experience with Coordination of Benefits, Third Party Liability, and/or Medicare Secondary Payer Proven ability to gather and interpret Explanation of Benefits (EOB) to answer questions and resolve primacy issues. Ability to communicate professionally and effectively with providers, carriers, beneficiaries and other audiences regarding eligibility and/or Coordination of Benefits (COB). Proven ability to gather and interpret Explanation of Benefits (EOB) and answer questions and resolve issues with payment Protected patients’ privacy, understands and adheres to HIPAA standards and regulations. Remarkable interpersonal and communication skills; ability to listen, be succinct and demonstrate positive customer service attitude. Self-motivated and thrives in a fast-paced business operations department performing multiple tasks cohesively, with keen attention to detail. Proficiency using standard office technology; computer, various applications and navigation of on-line tools and resources, keyboard, mouse, phone, headset. Ability to apply knowledge learned in training from various forms (memos, classroom training, on-line training, meetings, discussions, individual coaching, etc.). Ability to follow process, procedures, and regulations in the workplace. Ability to effectively perform work independently and work cooperatively with others to promote a positive team environment. Ability to adapt quickly and transition effectively to changing circumstances, assignments, programs, processes. Ability to consistently perform job responsibilities. Ability to obtain and maintain client required clearances as well as pass company regular background and/or drug screening. Completion of Teleworker Agreement upon hire, and adherence to the Agreement (and related policies and procedures) including, but not limited to: able to navigate computer and phone systems as a user to work remote independently using on-line resources, must have high-speed internet connectivity, appropriate workspace able to be compliant with HIPAA, safety & ergonomics, confidentiality, and dedicated work focus without distractions during work hours.   Physical Requirements:  Job is in a busy standard is performed in an office environment with moderate noise level (or may be home-office setting subject to Company approval and Teleworker Agreement), sits at a desk during scheduled shift, uses office phone or headset provided by the Company for calls, making outbound calls and answering inbound return calls using an office phone system; views a computer monitor, types on a keyboard and uses a mouse. Reads and comprehends information in electronic (computer) or paper form (written/printed). Sit/stand 8 or more hours per day; has the option to stand as needed while on calls; reach as needed to use office equipment. Consistently viewing a computer screen and types frequently, but not constantly, using a keyboard to update accounts. Consistently communicates on the phone as required primarily within the department and company and may include client contacts or other third-party depending on assignment with account holders, may dial manually when need or use dialer system; headset is also provided. Occasionally lift/carry/push/pull up to 10lbs.   Education and Experience:  Minimum 2 years of relevant experience, including Healthcare, demonstrating depth of knowledge and capability required for the position. Minimum 2 years of experience in customer service, billing reclamation or recovery, or call center role demonstrating application of similar skills. High School diploma or GED   Other Requirements  Ability to obtain and maintain client required clearances as well as pass company regular background and/or drug screening. Must submit to and pass pre-hire background check, as well as additional checks throughout employment. Must be able to pass a criminal background check; must not have any felony convictions or specific misdemeanors, nor on state/federal debarment or exclusion lists. Must submit to and pass drug screen pre-employment (and throughout employment). Performant is a government contractor. Certain client assignments for this position requires submission to and successful outcome of additional background and/or clearances throughout employment with the Company.  Visa sponsorship is not available.  Job Profile is subject to change at any time.  EEO  Performant Financial Corporation is an Equal Opportunity Employer.  Performant Financial Corporation is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, national origin, ancestry, age, religion, gender, gender identity, sexual orientation, pregnancy, age, physical or mental disability, genetic characteristics, medical condition, marital status, citizenship status, military service status, political belief status, or any other consideration made unlawful by law.  NO AGENCY SUBMISSIONS WITHOUT PERFORMANT AUTHORIZED AGENCY AGREEMENT AND APPROVED PERFORMANT JOB ORDER']"
817,PATIENT SERVICES SPECIALIST,University of Washington,,,,"['Notes: This position does provide the opportunity to work on site and remotely.   The University of Washington is proud to be one of the nation’s premier educational and research institutions. Our people are the most important asset in our pursuit of achieving excellence in education, research, and community service. Our staff not only enjoys outstanding benefits and professional growth opportunities, but also an environment noted for diversity, community involvement, intellectual excitement, artistic pursuits, and natural beauty. As an employee, you will enjoy generous benefits and work/life programs. For a complete description of our benefits for this position, please view this page.   Join our award-winning team at University of Washington Medical Center (UWMC). Among the top medical centers in the United States, and ranked as the number 1 hospital in Washington State, as rated by U.S. News & World Report 2019-2020 ""America\'s Best Hospitals"", UWMC prides itself on compassionate patient care as well as its pioneering medical advances. UWMC is operated by the University of Washington (UW) and serves as a training site for UW’s School of Medicine.   UWMC Radiology Support Services has an outstanding opportunity for a Patient Services Specialist 1-Trainee or 2 (Full Time, Day Shifts). This position has no face-to-face contact with patients and is 100% on the phone. All staff are based out of the UW Tower but this position also provides the opportunity to work remote.   This position performs the following specific duties:  Answer phones & greets customers in a professional manner.  Develops and maintains good working relationships within the department.  Responds to patients need, concerns as appropriate. Investigates complaints and works with dept. lead/supervisor to find solutions.  Is a resource person for patients regarding available resources.  Assist in obtaining and documenting the proper release of info.  Ensures that all requisitions are properly completed.  Process and reconcile patient charge documents.  Schedules radiology exams.  Has knowledge of anatomy to enable proper scheduling in correct imaging modality; basic medical terminology.   All contact is 100% phones. There is no face to face time with patients or clinics.  REQUIREMENTS: Patient Services Specialists are hired as either PSS 1-Trainee or PSS 2, depending on experience and qualifications. The requirements are:  PATIENT SERVICES SPECIALIST 1-TRAINEE REQUIREMENTS: High School graduation or equivalent AND one year of experience in a health care setting OR two years of general office experience OR equivalent education/experience.  PATIENT SERVICES SPECIALIST 2 REQUIREMENTS: High School graduation or equivalent AND one year of experience in a health care setting OR three years of general office or customer services experience OR equivalent education/experience.   Applicants considered for this position will be required to disclose if they are the subject of any substantiated findings or current investigations related to sexual misconduct at their current employment and past employment. Disclosure is required under Washington state law.  Committed to attracting and retaining a diverse staff, the University of Washington will honor your experiences, perspectives and unique identity. Together, our community strives to create and maintain working and learning environments that are inclusive, equitable and welcoming. The University of Washington is a leader in environmental stewardship & sustainability, and committed to becoming climate neutral. The University of Washington is an affirmative action and equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, gender expression, national origin, age, protected veteran or disabled status, or genetic information. To request disability accommodation in the application process, contact the Disability Services Office at 206-543-6450 or dso@uw.edu.']"
818,Patient Scheduling Associate (Remote),Piedmont Healthcare,,,,"['Responsible for serving as front-line support for the Patient Connection Center within Piedmont Healthcare. The Patient Connection Associate is responsible for pre-registering and scheduling moderately complex procedures and coordinating multiple resources for patient services.  ***Remote position. Functioning home internet is mandatory, and required to be considered for this role.  Requirements MINIMUM EDUCATION REQUIRED: High school diploma or GED MINIMUM EXPERIENCE REQUIRED: Two (2) years of related customer facing healthcare experience. MINIMUM LICENSURE/CERTIFICATION REQUIRED BY LAW: N/A ADDITIONAL QUALIFICATIONS: At least 1 year experience demonstrating proficiency in scheduling OR preregistering patients  ***Remote position. Functioning home internet is mandatory, and required to be considered for this role.  *** Qualified candidates will have scheduling experience. (EPIC experience is a plus)']"
819,Administrative Coordinator,Private Health Management,,,,"['As the Administrative Coordinator at Private Health Management, you will be part of a clinical team that is establishing a new standard of excellence in healthcare. We are currently looking for people to provide clinical support, client care logistics, and administrative functions to an exceptional clinical team. We’ve put a lot of intentional energy into creating a culture we’re proud of with people who believe in serving patients. For more than a decade, Private Health Management has helped our clients navigate the fragmented healthcare system to find the best care when it really matters. We have learned that complex health challenges require close coordination across a number of specialized physicians informed by the latest research and comprehensive clinical support. Join us in working with a team of PhD-led research scientists and highly skilled clinicians to deliver better health outcomes for our valued clients Intrigued? Good. Keep reading. Here are some key components of the role: Working in a corporate medical setting, you will assist the clinical team to collect STAT records, create an organized electronic portfolio of those records, fax patient medical records to doctors, clinical trials, and leading experts. Work with Physician Referrals Specialists to identify providers in our internal database, help in assessing availability for new patients, and confirm insurance status (in/out of network), along with any associated out of pocket cost. Under the guidance of a Client Service Coordinator, or clinician, provide seamless logistical support to the care team, ensuring client satisfaction. Having technical proficiency, you are proficient in Microsoft Office Suite, particularly Outlook. You are interested in learning Salesforce and Box. As an individual with remarkable attention to detail, with excellent written and verbal communication skills, you will match patients with doctor availability, assist with scheduling client medical appointments, receive, send and organize medical records, and assist with patient intake forms. Answering client service calls, ordering and keeping track of office supplies, coordinating staff meetings, capturing meeting notes, assisting in scheduling calls with our Medical Director, and managing Fed-Ex packages for replenishment of supplies as needed.']"
820,Healthcare Data Analyst,MetroPlus Health Plan,,,,"['Marketing Statement MetroPlus Health Plan provides the highest quality healthcare services to residents of Bronx, Brooklyn, Manhattan, Queens and Staten Island through a comprehensive list of products, including, but not limited to, New York State Medicaid Managed Care, Medicare, Child Health Plus, Exchange, Partnership in Care, MetroPlus Gold, Essential Plan, etc. As a wholly-owned subsidiary of NYC Health + Hospitals, the largest public health system in the United States, MetroPlus’ network includes over 27,000 primary care providers, specialists and participating clinics. For more than 30 years, MetroPlus has been committed to building strong relationships with its members and providers to enable New Yorkers to live their healthiest life. Position Overview The purpose of this position to MetroPlus Health Plans is to utilize the insurance plan’s data to provide financial analysis related to the provision, payment and reporting of health care services. The position is also responsible for research, collection, analysis and presentation of the Plan’s utilization and financial data. Candidates interested must work with multiple departments within the Plan in an effort to coordinate analytics to enhance operational efficiencies. Reports to Director of Finance & Regulatory Reporting. Job Description Prepare financial analyses on various aspects of the financial operations of the Plan including revenues, expenses, utilization and membership. Prepare financial analyses of medical service from large shared databases utilizing queries and multiple level extracts. Participate in the production and quality review of monthly and regulatory reports, including the Medicaid Managed Care Operating Report (MMCOR). Prepare projection analyses on claims and utilization, including underlying trends and risk analysis. Prepare documentation of all reporting and analysis. Special projects and other related duties as assigned. Review and update logic for claims analysis Reconcile and prepare monthly bills to ensure payment to various vendors Health Home Program Management Create quarterly reporting package for executives Communicate quarterly with Actuaries for completion of the UCL Perform managerial duties to oversee staff’s completion of tasks Minimum Qualifications Bachelor Degree with a minimum of 5 years of experience Industry related (business, health care, consulting, insurance, government). Insurance operations experience preferred Proficiency in Microsoft Excel, Access and Word are necessary SQL Query skill is required. Excellent verbal, written and mathematical skills. Experience with statistical systems and data report writers. Professional Competencies Integrity and Trust Customer Focus Functional/Technical skills Written/Oral Communication']"
821,Remote Customer Service Representative - Patient Care - Express Scripts,Cigna,,,,"['Have you heard? Express Scripts is now part of Cigna. Together, we’ve got big plans. How big, you ask? We want to change health care to make it more affordable, more personalized, and more focused on helping the whole person to achieve better health outcomes. And that’s only the beginning. Read on to learn more about working with us. Transform healthcare and contribute to our industry-leading organization as a Patient Care Advocate . Our Patient Care Advocates are dedicated team members who excel at customer service, helping us elevate our patient care to new heights. In this crucial role, you are on the front lines with patients, responding to phone inquiries and addressing each with care, detail, and most importantly, empathy.  Here’s a little more on how you’ll make a difference: Help patients understand their pharmacy benefits better. Use the knowledge you gain from training, your problem-solving skills and support from your team answer patient calls effectively.  Help us keep track of our patient interactions . While on calls, u se your expert listening sk ills to get to the heart of a patient’s question quickly and document all interactions in real-time.  Ensure patients are equipped with the best advice . Identify and empathetically address patient concerns and, if necessary, escalate appropriately.  What You Should Have : High School Diploma / GED required  1 year of relevant experience  General PC k nowledge including Microsoft Office  Excellent communication skills (verbal and written)  What you’ll love about working here : Fun, friendly, and unique culture – Bring your whole self to work every day!  Choice of three unique medical plans  Prescription Drug, Dental, Vision and Life Insurance  Employ ee Contributions for HRA and HSA accounts  401K with Company Match  Paid Time Off and Paid Holidays  Tuition Assistance  About Cigna Cigna Corporation (NYSE: CI) is a global health service company dedicated to improving the health, well-being and peace of mind of those we serve. We offer an integrated suite of health services through Cigna, Express Scripts, and our affiliates including medical, dental, behavioral health, pharmacy, vision, supplemental benefits, and other related products. Together, with our 74,000 employees worldwide, we aspire to transform health services, making them more affordable and accessible to millions. Through our unmatched expertise, bold action, fresh ideas and an unwavering commitment to patient-centered care, we are a force of health services innovation.  When you work with Cigna, you’ll enjoy meaningful career experiences that enrich people’s lives while working together to make the world a healthier place. What difference will you make? To see our culture in action, search #TeamCigna on Instagram.  Qualified applicants will be considered without regard to race, color, age, disability, sex, childbirth (including pregnancy) or related medical conditions including but not limited to lactation, sexual orientation, gender identity or expression, veteran or military status, religion, national origin, ancestry, marital or familial status, genetic information, status with regard to public assistance, citizenship status or any other characteristic protected by applicable equal employment opportunity laws.  If you require reasonable accommodation in completing the online application process, please email: SeeYourself@cigna.com for support. Do not email SeeYourself@cigna.com for an update on your application or to provide your resume as you will not receive a response.']"
822,"Patient Access Scheduler - Remote USA, Intermountain (Full Time)",R1 RCM Inc.,,,,"['Shift Days: Monday- Friday, Shift Hours : 9:30 AM - 6:00 PM This will be a remote position with the option of working at our Lake Park Facility. R1 is a leading provider of technology-enabled revenue cycle management services which transform and solve challenges across health systems, hospitals and physician practices. Headquartered in Chicago, R1 is publicly-traded organization with employees throughout the US and international locations. Our mission is to be the one trusted partner to manage revenue, so providers and patients can focus on what matters most. Our priority is to always do what is best for our clients, patient’s and each other. With our proven and scalable operating model, we complement a healthcare organization’s infrastructure, quickly driving sustainable improvements to net patient revenue and cash flows while reducing operating costs and enhancing the patient experience. The Patient Access Scheduler will be responsible for clerical and reception duties associated with patient scheduling and registration. The Patient Access Scheduler will handle a large volume of incoming calls and navigate between multiple systems to schedule with various departments. This person will be the first point of contact with patients and ensure their needs are met. This person will be working in a fast-paced environment where they will be expected to display strong customer service and communication skills to properly assist patients. The successful candidate will need to be highly organized and dedicated to customer service. Responsibilities: First point of contact interacting with patients over the phone or in person. Handles a high volume of incoming calls. Schedules patient visits and procedures for multiple hospitals and outpatient centers which involves coordinating and adhering to many departments and their clinical protocols. Responds to questions and concerns and directs them to appropriate location or department. Provides on-going communication with clinical staff regarding real-time patient status. Collaborates with medical staff and their associates to optimize efficiency and effectiveness in scheduling. Multitasks between several different technology systems to complete functions. Collects and enters all necessary demographic, clinical, billing and insurance information from patients or responsible parties. Provides patient education by explaining preps and patient instructions for the scheduled procedure following scheduling protocols. Informs patients of possible co-pays and deductibles needs to be paid at the time of service. Reviews and analyzes financial information from the registration system and communicates information to the patient and business office. Communicates effectively with physicians and physician staff, ancillary departments, nursing units and patients. Performs all other duties and projects as assigned. Required Qualifications: High School Diploma or GED At least one year of call center experience Attention to detail Strong customer service experience Ability to multi-task and navigate between multiple computer systems simultaneously Ability to handle a large volume of incoming calls Desired Qualifications: Experience within a hospital or medical environment assisting patients Working knowledge or experience with medical terminology  Physical Requirements:  See, read, and/or operate computers, telephones, office equipment, documents, labels, including manipulating paper requiring the ability to move fingers and hands. Remain sitting, standing, or walking for long periods of time to perform work on a computer, telephone, or other equipment. Frequent interactions with associates, patient care providers, patients, and visitors that require associate to verbally communicate as well as hear and understand spoken information, alarms, needs, and issues quickly and accurately, particularly during emergency situations. Manual dexterity of hands and fingers to manipulate complex and delicate equipment with precision and accuracy. This includes frequent computer use and typing for documenting patient care, accessing needed information banding patients, etc. Need to walk and assist with transporting/ambulating patients and obtaining and distributing supplies and equipment. This includes pushing/pulling gurneys and portable equipment, including heavy items (over 50 lbs.). Working in an evolving healthcare setting, we use our shared expertise to deliver innovative solutions. Our fast-growing team has opportunities to learn and grow through rewarding interactions, collaboration and the freedom to explore professional interests. Our associates are given valuable opportunities to contribute, to innovate and create meaningful work that makes an impact in the communities we serve around the world. We also offer a culture of excellence that drives customer success and improves patient care. We believe in giving back to the community and offer a competitive benefits package. To learn more, visit:r1rcm.com R1 RCM Inc. (“the Company”) is committed to the principles of equal employment opportunity. The Company’s practices and employment decisions, including those regarding recruitment, hiring, assignment, promotion, compensation, benefits, training, discipline, and termination shall not be based on any person’s age, color, national origin, citizenship status, physical or mental disability, medical condition, race, religion, creed, gender, sex, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status or any other characteristic protected by federal, state or local law. Furthermore, the Company is committed to providing a workplace free from harassment based on any of the foregoing protected categories. If you are an individual with a disability and require a reasonable accommodation to complete any part of the job application process, please contact us at 312-496-7709 for assistance. Education Required High School or better']"
823,Patient Care Coordinator - Part Time 5pm-11pm (Wed - Sat),Landmark Health,,,,"['Overview:  Do you want to make a difference in healthcare? Landmark Health was created to transform how healthcare is delivered to the most medically vulnerable members in our community. Our medical group provides home-based medical care to chronically ill patients, many of whom are frail, elderly and ill-equipped to navigate our overwhelming healthcare system. Because many of our patients are frail and elderly, we deliver care primarily in the comfort of their home. Our Program is also offered to eligible patients at no incremental financial cost to them. We are not a fee-for-service practice; we benefit economically only if we deliver high-quality patient outcomes and satisfaction. As a result, our clinical teams can spend quality-time caring for a smaller number of patients, giving all patients the space, respect, compassion and care they deserve. Our model is finding success throughout the country; we are now the nation’s largest risk-based, in-home medical group. At Landmark, our interdisciplinary teams collaboratively manage our complex patient panels. These teams are led by Physicians, Nurse Practitioners, and Physician Assistants, with supporting care provided by RN Nurse Care Managers, Social Workers, Pharmacists, Behavioral Health and other employed team members.  The Patient Care Coordinator is responsible for maintaining appropriate call coverage for Landmark Health’s patient facing phone lines while also contributing to administrative tasks necessary to support the Landmark clinical model.  Position can be located in any of the following states: AR, CA, KS, KY, LA, MA, MS, MO, NY, NC, OH, OR, PA, RI, WA Responsibilities: Provide superlative and empathetic telephonic customer service for Landmark patients Actively listen and probe patients in a professional and timely manner to understand and evaluate patient’s need, specifically whether the need is clinical or administrative Warm-transfer calls to Landmark clinical staff for clinically escalated situations Communicate and collaborate with members of the Landmark interdisciplinary team Utilize critical thinking and effective communications to help connect the value of the Landmark program to patients in need of more information Document non-emergent patient interactions across Landmark’s various communication methods Manage the scheduling process for patients wanting to schedule new visits or reschedule existing ones Ad hoc administrative tasks as assigned Employees in the position can expect to be on the phone up to 90% of their work shift and complete other essential function on an as-needed basis Full time and part-time roles available, with flexibility for changing shift coverage over time. Shifts are most mostly outside of normal business hours: first shift (6 am - 11 am), third shift (5 pm – 1 am), and weekends (9 am – 11 pm). Qualifications: HS Diploma or GED equivalent; Bachelor’s degree preferred Experience with escalated customer service issue resolution; experience with following triage protocol a plus 2+ years in a call center environment; health care experiences a plus 1+ year of healthcare background with medical terminology and familiarly of clinical issues Critical thinking skills required for success in role Knowledge of MS Office products; typing speed of 40+ WPM preferred Must reside within 60 miles of a Landmark facility']"
824,"Telehealth Clinical Support Assistant (Work from Home, Full or Part Time)",Erie Family Health Center,,,,"[""Erie Family Health Centers is seeking a Telehealth Clinical Support Assistant to join our Telehealth (Work from Home) Team! As a Telehealth Clinical Support Assistant, you will assist Erie’s medical providers and patients for their telehealth appointments from the comfort of your home. Onsite opportunities are also available. Responsibilities Provide Telehealth clinical support to Erie’s medical providers by performing routine patient care and clerical procedures to support the delivery of patient care Complete full history including medication and verifying patient’s information prior to meeting with provider Document and update information in the electronic health records system Assists providers with other tasks as needed Qualifications Requirements At least two years of work experience or completion of a Medical Assistant Program and externship required Good communication skills required Basic computer skills required Bilingual (English and Spanish) preferred Any healthcare experience including roles such as a CNA, MA, MOA, PCT preferred  Erie is seeking Full Time or Part Time Telehealth Clinical Support Assistants, who have strong high-speed internet connection. For those who cannot do this work at home, onsite opportunities are also available. These roles will work within Erie's Hours of Operations.""]"
825,Scheduling Specialist I - Work From Home,Geisinger,,,,"['Job Summary This Position is 10:30am -7pm including shift differential after 3pm. Occasional weekends as needed. Answer incoming calls and make outgoing calls with the intent of scheduling patients, ensuring a match of physician-specific scheduling guidelines with patient appointment preferences. Collects and maintains accurate, basic patient information relating to registration and insurance. Answers all non-scheduling related questions and directs non-scheduling calls to the appropriate department.  Job Duties Completes all appointment scheduling, cancellation and confirmation requests by matching patient preferences with documented, physician or diagnostic specific scheduling guidelines to provide the first available appointment in conjunction with patient preferences for time, date and location of each appointment. Coordinates and completes accurate basic registration, demographic and insurance information to ensure timely and accurate payment for services while scheduling appointments. Provides one-call resolution whenever possible. Processes multi-channel messages related to patient and physician requests such as appointments, referrals, prescriptions and complaints. Achieves and maintains quality and service goals related to contact center metrics. Functions as a team member to organize and prioritize responsibilities to complete daily work assignments. Assists with training initiatives for new hires. Work is typically performed in an office environment. Accountable for satisfying all job specific obligations and complying with all organization policies and procedures. The specific statements in this profile are not intended to be all-inclusive. They represent typical elements considered necessary to successfully perform the job.  Education High School Diploma or Equivalent (GED)- (Required)  Experience Minimum of 1 year-Related work experience (Required)']"
